YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2021,"Johnson, David",SG,75.25,202.8,25.18,0.0750,82.50,104.0,8.25,8.50,33.0,39.0,12.02,3.20,3.03,NA,1.096,70.1,137.0,143.0
2021,"Johnson, Jalen",PF,79.75,209.6,23.17,0.0450,84.25,106.0,9.75,10.50,NA,NA,NA,NA,NA,NA,1.056,102.4,NA,NA
2021,"Johnson, Keon",SG,75.50,184.8,22.79,0.0440,79.25,97.0,8.50,9.00,41.5,48.0,11.45,3.20,3.00,NA,1.050,76.5,138.5,145.0
2021,"Jones, Carlik",PG,72.00,173.6,23.54,0.0450,77.00,97.5,8.25,9.00,31.5,36.0,10.96,3.23,3.16,NA,1.069,74.3,129.0,133.5
2021,"Jones, Herbert",SF,78.00,206.4,23.85,0.0580,84.25,106.0,8.50,9.00,28.5,36.5,11.02,3.17,3.25,NA,1.080,76.5,134.5,142.5
2021,"Jones, Kai",PF,82.00,221.4,23.15,0.0470,85.75,110.5,9.00,9.50,NA,NA,NA,NA,NA,NA,1.046,85.5,NA,NA
2021,"Kispert, Corey",SF,78.00,223.8,25.86,0.0680,79.00,102.0,8.75,10.00,30.0,37.5,10.91,2.99,3.12,NA,1.013,87.5,132.0,139.5
2021,"Lawson, AJ",SG-SF,77.50,179.2,20.97,0.0440,78.75,99.5,8.50,9.30,33.0,41.0,11.00,3.01,2.98,NA,1.016,78.6,132.5,140.5
2021,"Lewis, Scottie",SF,76.00,187.6,22.83,0.0470,84.00,101.5,8.75,9.80,34.0,42.0,10.45,3.03,2.98,NA,1.105,85.3,135.5,143.5
2021,"Livers, Isaiah",SF,77.75,231.8,26.96,0.0940,81.25,104.5,9.00,9.50,NA,NA,NA,NA,NA,NA,1.045,85.5,NA,NA
2021,"Maker, Makur",C,82.25,232.2,24.13,0.1450,85.75,112.0,8.75,9.50,25.5,31.0,11.87,3.28,3.34,NA,1.043,83.1,137.5,143.0
2021,"Mamukelashvili, Sandro",C,81.00,239.8,25.69,0.0780,85.25,106.5,9.00,9.50,30.5,36.5,11.63,3.30,3.21,NA,1.052,85.5,137.0,143.0
2021,"Mann, Tre",PG,75.25,177.6,22.05,0.0410,76.00,98.5,8.00,9.00,NA,NA,NA,NA,NA,NA,1.010,72.0,NA,NA
2021,"McBride, Miles",PG,73.00,195.2,25.75,0.0600,80.75,99.5,9.00,9.50,31.0,38.5,11.08,3.13,3.10,NA,1.106,85.5,130.5,138.0
2021,"Mitchell, Davion",PG,72.00,202.4,27.45,0.0620,76.25,96.5,8.25,8.80,NA,NA,NA,NA,NA,NA,1.059,72.2,NA,NA
2021,"Mobley, Isaiah",PF,80.00,238.0,26.14,0.1290,87.00,107.5,9.00,10.00,26.5,32.0,12.70,3.50,3.30,NA,1.088,90.0,134.0,139.5
2021,"Moody, Moses",SG,76.50,210.6,25.30,0.0680,84.75,105.0,9.00,10.00,NA,NA,NA,NA,NA,NA,1.108,90.0,NA,NA
2021,"Murphy III, Trey",SF,79.50,206.0,22.91,0.0810,84.00,105.5,8.50,9.00,34.0,38.0,11.65,3.32,3.14,NA,1.057,76.5,139.5,143.5
2021,"Nix, Daishen",PG,75.00,225.6,28.19,0.1180,78.75,100.0,8.50,9.00,29.5,36.5,11.72,3.18,3.00,NA,1.050,76.5,129.5,136.5
2021,"Petty Jr., John",SG,76.50,186.2,22.37,0.0560,81.50,103.5,8.50,9.00,27.5,34.0,11.51,3.17,3.35,NA,1.065,76.5,131.0,137.5
2021,"Pons, Yves",PF,77.50,206.4,24.16,0.0400,84.75,104.0,9.00,9.30,36.0,42.5,10.89,3.05,3.10,NA,1.094,83.3,140.0,146.5
2021,"Preston, Jason",PG,75.00,180.6,22.57,0.0545,80.50,100.5,8.50,9.30,30.5,38.5,10.82,3.08,3.13,NA,1.073,78.6,131.0,139.0
2021,"Primo, Joshua",SG,76.00,189.0,23.00,0.0630,81.25,102.5,9.00,10.00,30.5,37.5,10.97,3.36,3.22,NA,1.069,90.0,133.0,140.0
2021,"Prkacin, Roko",PF,79.50,225.4,25.07,0.0700,83.00,107.0,8.75,9.30,NA,NA,NA,NA,NA,NA,1.044,80.9,NA,NA
2021,"Queta, Neemias",C,83.25,248.4,25.20,0.0760,88.00,112.5,9.25,10.50,27.0,33.0,11.85,3.50,3.29,NA,1.057,97.1,139.5,145.5
2021,"Reaves, Austin",SG,76.50,197.2,23.69,0.1100,78.25,101.0,8.00,8.30,25.0,35.0,10.94,3.19,3.07,NA,1.023,66.0,126.0,136.0
2021,"Robinson-Earl, Jeremiah",PF,79.75,242.4,26.79,0.0890,81.75,105.5,9.00,9.80,27.0,32.0,11.64,3.15,3.29,NA,1.025,87.8,132.5,137.5
2021,"Sims, Jericho",C,81.00,250.2,26.81,0.0550,87.25,106.0,9.00,9.80,37.0,44.5,11.59,3.38,3.05,NA,1.077,87.8,143.0,150.5
2021,"Springer, Jaden",SG,75.00,202.0,25.25,0.0630,79.75,99.0,8.50,9.80,34.5,41.5,11.46,3.10,3.13,NA,1.063,82.9,133.5,140.5
2021,"Steward, DJ",PG,72.75,162.2,21.54,0.0500,79.00,98.5,8.50,9.00,34.5,38.5,11.14,3.10,3.08,NA,1.086,76.5,133.0,137.0
2021,"Thor, JT",PF,80.50,203.0,22.02,0.0610,87.25,110.0,9.25,9.50,31.5,35.0,12.19,3.08,3.06,NA,1.084,87.9,141.5,145.0
2021,"Todd, Isaiah",PF,80.75,219.0,23.61,0.0620,85.25,107.5,9.00,9.80,28.5,35.5,11.38,3.25,3.31,NA,1.056,87.8,136.0,143.0
2021,"Washington Jr., Duane",SG,74.25,196.8,25.10,0.0510,79.75,101.0,8.25,8.80,29.5,35.5,11.50,3.06,3.17,NA,1.074,72.2,130.5,136.5
2021,"Watford, Trendon",PF,79.50,237.4,26.41,0.1010,86.25,105.0,9.50,9.50,28.0,35.0,11.69,3.23,3.27,NA,1.085,90.3,133.0,140.0
2021,"Wieskamp, Joe",SF,77.75,204.8,23.82,0.0410,83.00,103.0,8.50,9.30,30.0,42.0,10.70,3.18,3.04,NA,1.068,78.6,133.0,145.0
